Population Number | Heuristic | Fitness | NaN Count | Number of valid samples
1 | (sqr (+ (sqrt 7.3) -4.5)) | 0.0 | 0 | 46686579
1 | (sqrt (abs (abs (abs urg_count)))) | 0.5601722475182477 | 0 | 46686579
1 | (sqr (abs (max drate tcp))) | 0.08441189111112192 | 0 | 46686579
1 | (sqrt (sqr (min https -9.5))) | 0.0 | 0 | 46686579
1 | (min (/ -9.2 1.9) 1.3) | 1.8054981545398108e-05 | 0 | 46686579
1 | (abs (abs (* radius std))) | 0.2890182990539231 | 0 | 46686579
1 | (min min (min -9.5 -6.9)) | 0.0 | 0 | 46686579
1 | (neg (neg (sqr (abs 2.4)))) | 0.0 | 0 | 46686579
1 | (+ 3.7 (min 1.7 -2.4)) | 0.0 | 0 | 46686579
1 | (+ 8.1 (sqrt (sqr 1.3))) | 4.237249419304023e-05 | 0 | 46686579
1 | (- (abs (sqr 5.7)) -0.0) | 0.0 | 0 | 46686579
1 | (* (max 8.2 1.8) 7.6) | 2.2819390099661344e-05 | 0 | 46686579
1 | (/ 2.9 (+ 1.6 0.2)) | 0.0 | 0 | 46686579
1 | (/ tcp (- iat dhcp)) | 0.012159754251813494 | 324 | 46686255
1 | (sqr (neg (* rst_count cwr_flag_number))) | 3.79818772820173e-05 | 0 | 46686579
1 | (+ (sqr psh_flag_number) (abs 7.9)) | 0.0383529531458887 | 0 | 46686579
1 | (neg (abs (* -2.1 -8.1))) | 2.3463482608831532e-05 | 0 | 46686579
1 | (max 4.7 (/ 9.1 6.0)) | 4.237249419304023e-05 | 0 | 46686579
1 | (+ (sqr telnet) (sqrt header_length)) | 0.4235256664488071 | 0 | 46686579
1 | (sqrt (abs (max flow_duration 2.7))) | 0.2618610974671242 | 0 | 46686579
