Population Number | Heuristic | Fitness | NaN Count | Number of valid samples
1 | (* 2.7 psh_flag_number) | 0.03835295312426684 | 0 | 46686579
1 | (abs (sqrt 8.4)) | 2.390783022113491e-05 | 0 | 46686579
1 | (sqr (abs http)) | 0.007036498747207582 | 0 | 46686579
1 | (- irc weight) | 0.0001682590751995938 | 0 | 46686579
1 | (sqrt (sqrt max)) | 0.4181400856722347 | 0 | 46686579
1 | (abs (sqrt -1.4)) | 4.027385650895097e-05 | 0 | 46686579
1 | (sqr (sqr 1.5)) | 0.0 | 0 | 46686579
1 | (abs (sqrt -9.2)) | 0.0 | 0 | 46686579
1 | (neg (sqrt ipv)) | 0.00824486278487585 | 0 | 46686579
1 | (* 1.1 urg_count) | 0.24294639774598498 | 0 | 46686579
1 | (+ https drate) | 0.4435642758495109 | 0 | 46686579
1 | (min icmp -8.7) | 2.8631414118646287e-05 | 0 | 46686579
1 | (abs (sqrt covariance)) | 0.44955356821594356 | 0 | 46686579
1 | (sqrt (sqr telnet)) | 2.27152024016641e-05 | 0 | 46686579
1 | (abs (sqr rst_count)) | 0.2602387577685202 | 0 | 46686579
1 | (sqrt (sqr -7.5)) | 0.0 | 0 | 46686579
1 | (sqr (neg ipv)) | 0.00824486278487585 | 0 | 46686579
1 | (abs (abs ipv)) | 0.00824486278487585 | 0 | 46686579
1 | (sqr (sqrt 7.8)) | 0.0 | 0 | 46686579
1 | (- iat 7.2) | 0.000997847043806282 | 0 | 46686579
2 | (abs (sqrt covariance)) | 0.44955356821594356 | 0 | 46686579
2 | (+ https drate) | 0.4435642758495109 | 0 | 46686579
2 | (sqrt (sqrt max)) | 0.4181400856722347 | 0 | 46686579
2 | (abs (sqr rst_count)) | 0.2602387577685202 | 0 | 46686579
2 | (* 1.1 urg_count) | 0.24294639774598498 | 0 | 46686579
2 | (sqrt (sqrt (- (sqrt radius) 2.3))) | 0.4167923132624588 | 0 | 46686579
2 | (abs (sqrt (neg ece_flag_number))) | 0.0001886867797338934 | 0 | 46686579
2 | (abs (sqrt radius)) | 0.47281235419795087 | 0 | 46686579
2 | (* (neg (/ -0.6 (abs 0.2))) dhcp) | 0.0002031711186677188 | 0 | 46686579
